batch_index,pair_id,device,amp,image_size,tokenizer_sec,encoder_sec,decoder_sec,reverse_sec,full_sec,cover_l2,cover_psnr,token_mse,reverse_l2
82,000000500464__woman_with_hat_matisse,cuda,False,256,0.0021845249975740444,0.00751167500129668,0.0005659749986079987,0.012539324998215307,0.02280149999569403,0.00013637708616442978,38.652584075927734,0.012052967213094234,0.0017869756557047367
82,000000365521__antimonocromatismo,cuda,False,256,0.0021845249975740444,0.00751167500129668,0.0005659749986079987,0.012539324998215307,0.02280149999569403,0.00010964430111926049,39.60013961791992,0.015191683545708656,0.002043112413957715
82,000000365521__impronte_d_artista,cuda,False,256,0.0021845249975740444,0.00751167500129668,0.0005659749986079987,0.012539324998215307,0.02280149999569403,0.00010880134504986927,39.63365936279297,0.015109180472791195,0.0023368571419268847
83,000000365521__picasso_self_portrait,cuda,False,256,0.002341549999982817,0.007313449998036958,0.00028487499730545096,0.012332275000517257,0.022272149995842483,0.00010680915147531778,39.71392059326172,0.015054060146212578,0.0020129899494349957
83,000000365521__trial,cuda,False,256,0.002341549999982817,0.007313449998036958,0.00028487499730545096,0.012332275000517257,0.022272149995842483,0.00011009356239810586,39.58237838745117,0.014949996024370193,0.0022586712148040533
83,000000365521__woman_with_hat_matisse,cuda,False,256,0.002341549999982817,0.007313449998036958,0.00028487499730545096,0.012332275000517257,0.022272149995842483,0.00011137589899590239,39.5320930480957,0.015118211507797241,0.002140618860721588
83,000000363207__antimonocromatismo,cuda,False,256,0.002341549999982817,0.007313449998036958,0.00028487499730545096,0.012332275000517257,0.022272149995842483,0.0001104782204492949,39.56723403930664,0.013948112726211548,0.0018091847887262702
84,000000363207__impronte_d_artista,cuda,False,256,0.002140374999726191,0.0072595999990880955,0.0003332999986014329,0.012402849999489263,0.022136124996904982,0.00011248147347941995,39.48918914794922,0.013854298740625381,0.0020533129572868347
84,000000363207__picasso_self_portrait,cuda,False,256,0.002140374999726191,0.0072595999990880955,0.0003332999986014329,0.012402849999489263,0.022136124996904982,0.00010703440057113767,39.704769134521484,0.013880059123039246,0.0018241030629724264
84,000000363207__trial,cuda,False,256,0.002140374999726191,0.0072595999990880955,0.0003332999986014329,0.012402849999489263,0.022136124996904982,0.0001088480930775404,39.63179016113281,0.013673174194991589,0.0020230456721037626
84,000000363207__woman_with_hat_matisse,cuda,False,256,0.002140374999726191,0.0072595999990880955,0.0003332999986014329,0.012402849999489263,0.022136124996904982,0.00011604828614508733,39.353614807128906,0.013861950486898422,0.002010298427194357
85,000000400161__antimonocromatismo,cuda,False,256,0.0021195749977778178,0.007238700000016252,0.00026517500009504147,0.012207900002977112,0.021831350000866223,0.00012455655087251216,39.04633331298828,0.018837127834558487,0.00546211376786232
85,000000400161__impronte_d_artista,cuda,False,256,0.0021195749977778178,0.007238700000016252,0.00026517500009504147,0.012207900002977112,0.021831350000866223,0.00012764960411004722,38.9398078918457,0.018472209572792053,0.005656960420310497
85,000000400161__picasso_self_portrait,cuda,False,256,0.0021195749977778178,0.007238700000016252,0.00026517500009504147,0.012207900002977112,0.021831350000866223,0.0001297543349210173,38.86878204345703,0.018609970808029175,0.005667868070304394
85,000000400161__trial,cuda,False,256,0.0021195749977778178,0.007238700000016252,0.00026517500009504147,0.012207900002977112,0.021831350000866223,0.0001320993178524077,38.790992736816406,0.01857360266149044,0.005743697285652161
86,000000400161__woman_with_hat_matisse,cuda,False,256,0.002422350000415463,0.007734074999461882,0.0005799999998998828,0.012480000001232838,0.023216425001010066,0.00013571596355177462,38.67369079589844,0.018496431410312653,0.005607172846794128
86,000000241668__antimonocromatismo,cuda,False,256,0.002422350000415463,0.007734074999461882,0.0005799999998998828,0.012480000001232838,0.023216425001010066,9.657378541305661e-05,40.151405334472656,0.006672337185591459,0.0004958999343216419
86,000000241668__impronte_d_artista,cuda,False,256,0.002422350000415463,0.007734074999461882,0.0005799999998998828,0.012480000001232838,0.023216425001010066,0.00010532765736570582,39.77457809448242,0.006503462791442871,0.0006784467841498554
86,000000241668__picasso_self_portrait,cuda,False,256,0.002422350000415463,0.007734074999461882,0.0005799999998998828,0.012480000001232838,0.023216425001010066,9.555909491609782e-05,40.19728088378906,0.006708032917231321,0.0006262694369070232
87,000000241668__trial,cuda,False,256,0.0021075000004202593,0.007253299998410512,0.0003133000027446542,0.012450474998331629,0.022124574999907054,0.0001045610842993483,39.806297302246094,0.006464839912950993,0.0006380895501933992
87,000000241668__woman_with_hat_matisse,cuda,False,256,0.0021075000004202593,0.007253299998410512,0.0003133000027446542,0.012450474998331629,0.022124574999907054,0.00010416556324344128,39.82276153564453,0.006468090228736401,0.00047651035129092634
87,000000139883__antimonocromatismo,cuda,False,256,0.0021075000004202593,0.007253299998410512,0.0003133000027446542,0.012450474998331629,0.022124574999907054,0.00011683393677230924,39.324310302734375,0.023965541273355484,0.00957719050347805
87,000000139883__impronte_d_artista,cuda,False,256,0.0021075000004202593,0.007253299998410512,0.0003133000027446542,0.012450474998331629,0.022124574999907054,0.00013166622375138104,38.805259704589844,0.02414911985397339,0.010301947593688965
88,000000139883__picasso_self_portrait,cuda,False,256,0.0024496000005456153,0.00731482499759295,0.0005999250024615321,0.012678900002356386,0.023043250002956484,0.00012081409659003839,39.17882537841797,0.023544367402791977,0.010282526724040508
88,000000139883__trial,cuda,False,256,0.0024496000005456153,0.00731482499759295,0.0005999250024615321,0.012678900002356386,0.023043250002956484,0.00012678444909397513,38.96934127807617,0.024029292166233063,0.010902456939220428
88,000000139883__woman_with_hat_matisse,cuda,False,256,0.0024496000005456153,0.00731482499759295,0.0005999250024615321,0.012678900002356386,0.023043250002956484,0.00012832095671910793,38.917022705078125,0.02400366961956024,0.010307550430297852
88,000000281929__antimonocromatismo,cuda,False,256,0.0024496000005456153,0.00731482499759295,0.0005999250024615321,0.012678900002356386,0.023043250002956484,0.00011099685070803389,39.54689407348633,0.015495194122195244,0.002063214313238859
89,000000281929__impronte_d_artista,cuda,False,256,0.002393825001490768,0.007414874999085441,0.0005908500024816021,0.012579700000060257,0.022979250003118068,0.00011618300050031394,39.34857177734375,0.015338828787207603,0.002630657982081175
89,000000281929__picasso_self_portrait,cuda,False,256,0.002393825001490768,0.007414874999085441,0.0005908500024816021,0.012579700000060257,0.022979250003118068,0.000110113644041121,39.58158874511719,0.015260005369782448,0.002118191681802273
89,000000281929__trial,cuda,False,256,0.002393825001490768,0.007414874999085441,0.0005908500024816021,0.012579700000060257,0.022979250003118068,0.00010720638965722173,39.69779586791992,0.015191477723419666,0.0022548711858689785
89,000000281929__woman_with_hat_matisse,cuda,False,256,0.002393825001490768,0.007414874999085441,0.0005908500024816021,0.012579700000060257,0.022979250003118068,0.00011852455645566806,39.26191711425781,0.015347474254667759,0.0024258203338831663
90,000000408830__antimonocromatismo,cuda,False,256,0.0025518500006000977,0.007139624998671934,0.0002790750004351139,0.012379724998027086,0.022350274997734232,0.0001134513586293906,39.451900482177734,0.016431421041488647,0.0020691538229584694
90,000000408830__impronte_d_artista,cuda,False,256,0.0025518500006000977,0.007139624998671934,0.0002790750004351139,0.012379724998027086,0.022350274997734232,0.0001165073990705423,39.33646774291992,0.016433386132121086,0.0020888326689600945
90,000000408830__picasso_self_portrait,cuda,False,256,0.0025518500006000977,0.007139624998671934,0.0002790750004351139,0.012379724998027086,0.022350274997734232,0.0001105306000681594,39.5651741027832,0.01640036702156067,0.002127178478986025
90,000000408830__trial,cuda,False,256,0.0025518500006000977,0.007139624998671934,0.0002790750004351139,0.012379724998027086,0.022350274997734232,0.00011003823601640761,39.584564208984375,0.016354400664567947,0.0020505180582404137
91,000000408830__woman_with_hat_matisse,cuda,False,256,0.002293925001140451,0.007171350000135135,0.00033062500006053597,0.0123688250023406,0.022164725003676722,0.00011775694292737171,39.290138244628906,0.016410570591688156,0.0020768241956830025
91,000000421757__antimonocromatismo,cuda,False,256,0.002293925001140451,0.007171350000135135,0.00033062500006053597,0.0123688250023406,0.022164725003676722,0.00011067358718719333,39.5595588684082,0.01314331404864788,0.00215591280721128
91,000000421757__impronte_d_artista,cuda,False,256,0.002293925001140451,0.007171350000135135,0.00033062500006053597,0.0123688250023406,0.022164725003676722,0.00011179417924722657,39.51580810546875,0.012816829606890678,0.00229724682867527
91,000000421757__picasso_self_portrait,cuda,False,256,0.002293925001140451,0.007171350000135135,0.00033062500006053597,0.0123688250023406,0.022164725003676722,0.00010558095527812839,39.76414489746094,0.012933479622006416,0.0019320284482091665
92,000000421757__trial,cuda,False,256,0.0023170499989646487,0.007147874999645865,0.0004250999991199933,0.01227797500177985,0.022167999999510357,0.00011270874529145658,39.48042678833008,0.01285737007856369,0.0024519802536815405
92,000000421757__woman_with_hat_matisse,cuda,False,256,0.0023170499989646487,0.007147874999645865,0.0004250999991199933,0.01227797500177985,0.022167999999510357,0.00011141713912365958,39.530479431152344,0.012888077646493912,0.0021361717954277992
92,000000565012__antimonocromatismo,cuda,False,256,0.0023170499989646487,0.007147874999645865,0.0004250999991199933,0.01227797500177985,0.022167999999510357,0.00011899332457687706,39.244773864746094,0.02134278416633606,0.003878460731357336
92,000000565012__impronte_d_artista,cuda,False,256,0.0023170499989646487,0.007147874999645865,0.0004250999991199933,0.01227797500177985,0.022167999999510357,0.00012076892016921192,39.18044662475586,0.021256983280181885,0.00430039968341589
93,000000565012__picasso_self_portrait,cuda,False,256,0.0021254000021144748,0.0072869750001700595,0.00028692499836324714,0.012332925001828698,0.02203222500247648,0.00012051950761815533,39.18942642211914,0.020930098369717598,0.003987024538218975
93,000000565012__trial,cuda,False,256,0.0021254000021144748,0.0072869750001700595,0.00028692499836324714,0.012332925001828698,0.02203222500247648,0.00011507188173709437,39.39031219482422,0.020963100716471672,0.003939845599234104
93,000000565012__woman_with_hat_matisse,cuda,False,256,0.0021254000021144748,0.0072869750001700595,0.00028692499836324714,0.012332925001828698,0.02203222500247648,0.00012557613081298769,39.010929107666016,0.02109656110405922,0.0039077866822481155
93,000000443844__antimonocromatismo,cuda,False,256,0.0021254000021144748,0.0072869750001700595,0.00028692499836324714,0.012332925001828698,0.02203222500247648,0.00010514275345485657,39.78220748901367,0.008879394270479679,0.0009103749762289226
94,000000443844__impronte_d_artista,cuda,False,256,0.0022256250013015233,0.007119550002244068,0.0002866750000976026,0.012275075001525693,0.021906925005168887,9.605276864022017e-05,40.174903869628906,0.008540247566998005,0.0008913431083783507
94,000000443844__picasso_self_portrait,cuda,False,256,0.0022256250013015233,0.007119550002244068,0.0002866750000976026,0.012275075001525693,0.021906925005168887,9.944697376340628e-05,40.024085998535156,0.008989585563540459,0.0008810911094769835
94,000000443844__trial,cuda,False,256,0.0022256250013015233,0.007119550002244068,0.0002866750000976026,0.012275075001525693,0.021906925005168887,0.00010652810306055471,39.72535705566406,0.00863223522901535,0.0009037581039592624
94,000000443844__woman_with_hat_matisse,cuda,False,256,0.0022256250013015233,0.007119550002244068,0.0002866750000976026,0.012275075001525693,0.021906925005168887,0.0001050939317792654,39.78422546386719,0.009017718024551868,0.0010733545059338212
95,000000252507__antimonocromatismo,cuda,False,256,0.002097525000863243,0.007367999998677988,0.0002806999982567504,0.012187249998532934,0.021933474996330915,0.00010413132258690894,39.824188232421875,0.01401874702423811,0.0020369491539895535
95,000000252507__impronte_d_artista,cuda,False,256,0.002097525000863243,0.007367999998677988,0.0002806999982567504,0.012187249998532934,0.021933474996330915,0.00010595769708743319,39.74867630004883,0.013773631304502487,0.002774306572973728
95,000000252507__picasso_self_portrait,cuda,False,256,0.002097525000863243,0.007367999998677988,0.0002806999982567504,0.012187249998532934,0.021933474996330915,0.00010426184599054977,39.818748474121094,0.013816834427416325,0.0020922382827848196
95,000000252507__trial,cuda,False,256,0.002097525000863243,0.007367999998677988,0.0002806999982567504,0.012187249998532934,0.021933474996330915,0.0001094098188332282,39.60943603515625,0.013641810044646263,0.0029261577874422073
