label,run,pair_id,eval_strength,cover_psnr,token_mse,jpeg_token_mse,rbn_token_mse,thumb_mse,reverse_l2,reverse_psnr
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000363207__impronte_d_artista,1.36,38.917537689208984,0.013560689985752106,0.01348569430410862,0.01340351440012455,0.00018507742788642645,0.0049872128292918205,23.021421432495117
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000363207__picasso_self_portrait,1.36,38.678794860839844,0.013737509958446026,0.01360643282532692,0.013454720377922058,0.000216518048546277,0.004777414258569479,23.208072662353516
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000363207__trial,1.36,39.252197265625,0.01350849587470293,0.01344238594174385,0.013371708802878857,0.00017960094555746764,0.004668505862355232,23.3082218170166
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000363207__woman_with_hat_matisse,1.36,38.6729736328125,0.013581464067101479,0.013503176160156727,0.01342327892780304,0.00017855907208286226,0.004988217726349831,23.020545959472656
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000400161__antimonocromatismo,1.36,38.1540641784668,0.01859096810221672,0.018130842596292496,0.017631895840168,0.0005922014242969453,0.02054526098072529,16.87288475036621
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000400161__impronte_d_artista,1.36,37.76395797729492,0.017689401283860207,0.017331844195723534,0.016959112137556076,0.0005472649936564267,0.018745657056570053,17.270992279052734
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000400161__picasso_self_portrait,1.36,37.86031723022461,0.018491331487894058,0.018071558326482773,0.01765235885977745,0.0006016690749675035,0.018700551241636276,17.281455993652344
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000400161__trial,1.36,37.88443374633789,0.018075600266456604,0.0177142471075058,0.017318541184067726,0.0005481826956383884,0.019145332276821136,17.179370880126953
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000400161__woman_with_hat_matisse,1.36,37.70198059082031,0.017949404194951057,0.017590753734111786,0.01720665954053402,0.0005489465547725558,0.019161447882652283,17.175716400146484
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000241668__antimonocromatismo,1.36,38.92783737182617,0.00874795950949192,0.008653225377202034,0.008573722094297409,0.0001204664513352327,0.00456382567062974,23.40671157836914
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000241668__impronte_d_artista,1.36,39.556976318359375,0.008756761439144611,0.008718716911971569,0.008694343268871307,0.0001633483188925311,0.004454186651855707,23.51231575012207
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000241668__picasso_self_portrait,1.36,38.580345153808594,0.009156856685876846,0.009088253602385521,0.009029669687151909,0.00019576259364839643,0.004244002979248762,23.722244262695312
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000241668__trial,1.36,39.62769317626953,0.008800814859569073,0.00875393021851778,0.008725529536604881,0.00014845043187960982,0.0043203989043831825,23.64476203918457
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000241668__woman_with_hat_matisse,1.36,39.357872009277344,0.008650644682347775,0.008618373423814774,0.008592862635850906,0.00012149975373176858,0.004279290325939655,23.686283111572266
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000139883__antimonocromatismo,1.36,38.42298126220703,0.022214457392692566,0.022044770419597626,0.021853461861610413,0.00031556442263536155,0.017954275012016296,17.458322525024414
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000139883__impronte_d_artista,1.36,37.857906341552734,0.0220801942050457,0.02193264290690422,0.02175183780491352,0.0003005819162353873,0.019299112260341644,17.14462661743164
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000139883__picasso_self_portrait,1.36,38.175262451171875,0.02192794159054756,0.021748486906290054,0.02155289053916931,0.0003307557199150324,0.018728680908679962,17.27492904663086
